Type,0,1,2,3,4
Breast,2.631578947368421,36.84210526315789,34.21052631578947,0.0,26.31578947368421
CRC,0.0,56.81818181818182,34.090909090909086,0.0,9.090909090909092
GBM,18.421052631578945,23.684210526315788,57.89473684210527,0.0,0.0
Healthy,20.37037037037037,18.51851851851852,53.70370370370371,7.4074074074074066,0.0
Liver,8.333333333333332,33.33333333333333,58.333333333333336,0.0,0.0
Lung,1.694915254237288,27.11864406779661,40.67796610169492,3.389830508474576,27.11864406779661
Pancreatic,0.0,60.60606060606061,39.39393939393939,0.0,0.0
